Product.Category,Product.Subcategory,Gender,LifeStage,Trend.Theme,Inspiration.Background,Length,Sleeve,Collar.Design,Neck.Design,Fit,Sample.Manufacturer,Production.Manufacturer,Colors
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΛΕΥΚΟ_255,255,255,ΜΠΛΕ_010,010,172,ΠΟΡΤΟΚΑΛΙ_255,105,018"
,,,,,,,,,,,,,"ΜΠΛΕ_021,021,053,ΣΚΟΥΡΟ ΜΕΛΑΝΖΕ_039,039,039"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΛΕΥΚΟ_555,555,555,ΣΙΕΛ_123,181,255"
,,,,,,,,,,,,,"ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΦΡΑΟΥΛΑ_255,102,215"
,,,,,,,,,,,,,"ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,ΠΟΥΑ_
,,,,,,,,,,,,,"ΝΕΟΝ ΡΟΔΑΚΙΝΙ_255,172,143"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_255,0,0,ΚΟΥΦΕΤΙ_255,196,225,ΛΕΜΟΝΙ_255,255,89,ΛΕΥΚΟ_239,239,239,ΜΑΡΕΝ_0,0,125,ΦΡΑΟΥΛΑ_255,51,51"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_251,232,228"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221"
,,,,,,,,,,,,,"ΕΜΠΡΙΜΕ_251,232,228"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΡΟΖ_255,174,221"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΡΟΖ_255,174,221"
,,,,,,,,,,,,,ΦΛΟΡΑΛ_
,,,,,,,,,,,,,"ΦΥΣΤΙΚΙ_084,233,198"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221,ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_253,038,074,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073"
,,,,,,,,,,,,,"ΡΟΖ_255,174,221"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΜΕΛΑΝΖΕ_207,207,207,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΥΦΕΤΙ_255,174,221"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΜΕΝΤΑ_023,191,157,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΦΟΥΞ_253,038,074"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΣΟΜΟΝ_246,134,128,ΦΥΣΤΙΚΙ_084,233,198"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΡΟΖ_255,174,221,ΣΟΜΟΝ_246,134,128"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΜΕΝΤΑ_023,191,157"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_243,226,073,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΡΟΖ_251,232,228,ΣΟΜΟΝ_246,134,128"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_0,206,206,ΡΟΖ_255,128,192,ΦΟΥΞ_249,0,249"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΛΕΜΟΝΙ_243,226,073,ΜΑΡΕΝ_021,021,053"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΝΕΟΝ ΡΟΔΑΚΙΝΙ_255,172,143"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΝΕΟΝ ΡΟΔΑΚΙΝΙ_255,172,143,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΦΥΣΤΙΚΙ_084,233,198"
,,,,,,,,,,,,,"ΕΜΠΡΙΜΕ_010,010,172"
,,,,,,,,,,,,,"ΑΝ.ΜΠΛΕ_53,154,255"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΦΡΑΟΥΛΑ_255,102,215"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255,ΡΟΖ_251,232,228,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΒΕΡΥΚΟΚΚΙ_255,138,087,ΚΟΚΚΙΝΟ_242,011,046,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΜΑΡΕΝ_021,021,053,ΣΟΜΟΝ_246,134,128"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΣΟΜΟΝ_246,134,128"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255,ΝΕΟΝ ΡΟΔΑΚΙΝΙ_255,172,143"
,,,,,,,,,,,,,"ΒΕΡΥΚΟΚΚΙ_255,138,087,ΛΕΥΚΟ_255,255,255,ΝΕΟΝ ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΛΕΜΟΝΙ_243,226,073,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΣΟΜΟΝ_246,134,128"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΚΚΙΝΟ_242,011,046,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΜΑΡΕΝ_021,021,053"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΛΕΥΚΟ_255,255,255,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΑΝΟΙΧΤΟ ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΚΙΤΡΙΝΟ_255,239,005,ΟΙΝΟΠΝΕΥΜΑΤΙ_084,165,205,ΣΟΜΟΝ_246,134,128"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΚΥΚΛΑΜΙΝΟ_251,181,181"
,,,,,,,,,,,,,"ΚΥΚΛΑΜΙΝΟ_251,181,181,ΛΕΜΟΝΙ_251,255,110,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΣΟΜΟΝ_246,134,128"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_243,226,073,ΜΕΝΤΑ_023,191,157"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΣΟΜΟΝ_246,134,128,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_251,255,110"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_253,038,074,ΜΑΡΕΝ_021,021,053,ΦΡΑΟΥΛΑ_255,102,215"
,,,,,,,,,,,,,"ΚΙΤΡΙΝΟ_255,239,005,ΛΕΥΚΟ_255,255,255,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΜΕΛΑΝΖΕ_207,207,207"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΛΕΥΚΟ_255,255,255,ΣΟΜΟΝ_246,134,128"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΜΑΡΕΝ_046,095,255,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΡΟΖ_251,232,228,ΦΡΑΟΥΛΑ_255,102,215"
,,,,,,,,,,,,,"ΜΕΛΑΝΖΕ_207,207,207,ΜΠΛΕ_010,010,172,ΡΟΖ_255,174,221"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΜΑΡΕΝ_021,021,053,ΦΡΑΟΥΛΑ_255,102,215"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΜΑΡΕΝ_021,021,052,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΠΛΕ_010,010,172,ΦΡΑΟΥΛΑ_255,102,215"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΒΕΡΥΚΟΚΚΙ_255,138,087,ΛΕΜΟΝΙ_251,255,110"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_243,226,073,ΣΚΟΥΡΟ ΜΠΛΕ_046,095,255,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_243,226,073,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_251,255,110,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΦΡΑΟΥΛΑ_255,102,215"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_253,038,074,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΜΑΡΕΝ_021,021,053"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_251,255,110"
,,,,,,,,,,,,,"ΣΟΜΟΝ_246,134,128,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΛΕΜΟΝΙ_243,226,073,ΝΕΟΝ ΡΟΔΑΚΙΝΙ_255,172,143"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΣΟΜΟΝ_246,134,128"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΦΡΑΟΥΛΑ_255,102,215"
,,,,,,,,,,,,,"ΜΕΝΤΑ_023,191,157,ΜΠΕΖ_189,174,136,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΑΝ.ΜΠΛΕ_123,181,255,ΛΕΥΚΟ_255,255,255,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΡΟΖ_251,232,228,ΧΑΚΙ_102,113,087"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΜΑΡΕΝ_021,021,053,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΜΑΥΡΟ_000,000,000"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_243,226,073,ΜΕΝΤΑ_023,191,157,ΣΟΜΟΝ_246,134,128"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_255,0,0,ΛΕΥΚΟ_239,239,239,ΜΑΥΡΟ_15,15,15"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΕΛΑΝΖΕ_207,207,207,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΕΛΑΝΖΕ_207,207,207,ΜΕΝΤΑ_023,191,157"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_253,038,074,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_253,038,074,ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125.246,206,ΚΟΚΚΙΝΟ_242,011,046,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΓΚΡΙ_175,175,175,ΚΟΡΑΛΛΙ_253,038,074,ΧΑΚΙ_102,113,087"
,,,,,,,,,,,,,"ΒΕΡΥΚΟΚΚΙ_255,138,087,ΛΕΥΚΟ_255,255,255,ΝΕΟΝ ΡΟΖ_255,81,255"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΜΑΡΕΝ_021,021,053"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΜΑΡΕΝ_021,021,053,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_255,255,89,ΛΕΥΚΟ_239,239,239"
,,,,,,,,,,,,,"ΜΑΥΡΟ_15,15,15"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΜΑΡΕΝ_021,021,053,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_084,233,198,ΚΟΥΦΕΤΙ_255,174,221"
,,,,,,,,,,,,,"ΑΝ.ΜΠΛΕ_6,61,121"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΠΛΕ_107,142,195"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΜΠΛΕ_107,142,195"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_0,206,206,ΚΟΚΚΙΝΟ_255,0,0,ΚΟΥΦΕΤΙ_255,196,225,ΜΑΡΕΝ_0,0,125"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΜΕΛΑΝΖΕ_207,207,207,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_248,58,58,ΜΑΡΕΝ_0,0,125,ΜΑΥΡΟ_15,15,15"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_253,038,074,ΜΑΡΕΝ_021,021,052"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_0,206,206,ΒΕΡΥΚΟΚΚΙ_255,176,98,ΚΟΥΦΕΤΙ_255,196,225,ΛΕΜΟΝΙ_255,255,89,ΛΕΥΚΟ_239,239,239,ΣΚΟΥΡΟ ΜΠΛΕ_0,0,140"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255,ΝΕΟΝ ΡΟΔΑΚΙΝΙ_255,172,143,ΡΟΖ_251,232,228,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΒΕΡΥΚΟΚΚΙ_255,138,087,ΚΟΚΚΙΝΟ_242,011,046,ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΜΕΛΑΝΖΕ_207,207,207,ΡΟΖ_246,134,128"
,,,,,,,,,,,,,"ΜΕΛΑΝΖΕ_207,207,207,ΣΟΜΟΝ_246,134,128"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΚΟΥΦΕΤΙ_255,174,221"
,,,,,,,,,,,,,"ΑΣΗΜΙ_207,207,207"
,,,,,,,,,,,,,"ΚΥΚΛΑΜΙΝΟ_251,181,181,ΛΕΜΟΝΙ_243,226,073,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΜΕΛΑΝΖΕ_207,207,207,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255244"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,253,242,ΛΕΥΚΟ_239,239,239,ΣΟΜΟΝ_255,166,166"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΚΟΡΑΛΛΙ_253,038,074,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΛΕΥΚΟ_255,255,255,ΡΟΖ_255,174,221"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΡΟΔΑΚΙΝΙ_255,138,087,ΦΟΥΞ_255,038,147,ΦΥΣΤΙΚΙ_084,233,198"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΚΚΙΝΟ_242,011,046,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΚΥΚΛΑΜΙΝΟ_251,181,181"
,,,,,,,,,,,,,"ΑΚΟΥΑ_084,165,205,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΜΕΛΑΝΖΕ_207,207,207,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΛΕΥΚΟ_018,018,018,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΤΥΡΚΟΥΑΖ_000,225,246,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΧΑΚΙ_102,113,087"
,,,,,,,,,,,,,"ΑΝΘΡΑΚΙ_039,039,039,ΜΑΡΕΝ_021,021,053,ΧΑΚΙ_102,113,087"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΕΚΡΟΥ_255,255,244,ΚΟΥΦΕΤΙ_255,174,221"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_253,038,074,ΜΑΥΡΟ_000,000,000,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΜΠΛΕ_010,010,172,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_253,038,074,ΚΟΥΦΕΤΙ_255,174,221,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΣΚΟΥΡΟ ΜΠΛΕ_046,095,255,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΕΛΑΝΖΕ_207,207,207,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΣΚΟΥΡΟ ΜΠΛΕ_046,095,255,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΜΑΡΕΝ_021,021,053,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221,ΜΑΥΡΟ_000,000,000"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΕΚΡΟΥ_255,255,244,ΚΙΤΡΙΝΟ_255,239,005,ΜΕΛΑΝΖΕ_207,207,207,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΜΕΝΤΑ_023,191,157,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_243,226,073,ΝΕΟΝ ΡΟΔΑΚΙΝΙ_255,172,143"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_253,038,074"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,196,225,ΛΕΥΚΟ_239,239,239"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΝΕΟΝ ΡΟΔΑΚΙΝΙ_255,172,143,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΕΛΑΝΖΕ_207,207,207,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΣΚΟΥΡΟ ΜΕΛΑΝΖΕ_139,139,139"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΣΚΟΥΡΟ ΜΕΛΑΝΖΕ_039,039,039"
,,,,,,,,,,,,,"ΜΕΝΤΑ_023,191,157,ΝΕΟΝ ΡΟΔΑΚΙΝΙ_255,172,143"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΣΚΟΥΡΟ ΜΕΛΑΝΖΕ_175,175,175"
,,,,,,,,,,,,,"ΜΕΝΤΑ_0,191,191,ΝΕΟΝ ΡΟΔΑΚΙΝΙ_244,157,62"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΠΟΡΤΟΚΑΛΙ_255,105,018,ΡΟΥΑ_046,095,255"
,,,,,,,,,,,,,"ΛΑΧΑΝΙ_209,245,084,ΜΑΡΕΝ_021,021,053"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΛΑΧΑΝΙ_209,245,084,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΠΛΕ_010,010,172,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΛΑΧΑΝΙ_209,245,084,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΜΠΛΕ_046,095,255,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΜΑΡΕΝ_0,0,125,ΜΠΛΕ_28,28,255,ΤΥΡΚΟΥΑΖ_0,213,213"
,,,,,,,,,,,,,"ΑΚΟΥΑ_084,165,205"
,,,,,,,,,,,,,"ΝΕΟΝ ΚΟΡΑΛΛΙ_255,114,113,ΝΕΟΝ ΡΟΖ_255,81,255"
,,,,,,,,,,,,,"ΣΚΟΥΡΟ ΜΠΛΕ_021,021,053"
,,,,,,,,,,,,,"ΟΙΝΟΠΝΕΥΜΑΤΙ_084,165,205"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_235,040,048"
,,,,,,,,,,,,,"ΠΟΡΤΟΚΑΛΙ_255,105,018,ΦΡΑΟΥΛΑ_255,102,215"
,,,,,,,,,,,,,"ΝΕΟΝ ΚΟΡΑΛΛΙ_,ΝΕΟΝ ΡΟΖ_255,81,255"
,,,,,,,,,,,,,"ΜΠΕΖ_189,174,136,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΜΠΕΖ_189,174,136,ΣΚΟΥΡΟ ΜΠΛΕ_046,095,255"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΜΑΡΕΝ_021,021,053,ΡΟΖ_255,174,221"
,,,,,,,,,,,,,"ΡΟΖ_255,128,192"
,,,,,,,,,,,,,"ΜΠΛΕ_28,28,255,ΣΟΜΟΝ_255,166,166"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΜΠΕΖ_189,174,136"
